Id;Measure;Perioden;Value;StringValue;ValueAttribute
656;M000238;1988MM04;0,7;;None
657;M000239;1988MM04;;;Impossible
658;M000238;1988MM05;0,7;;None
659;M000239;1988MM05;;;Impossible
660;M000238;1988MM06;0,8;;None
661;M000239;1988MM06;;;Impossible
662;M000238;1988MM07;1;;None
663;M000239;1988MM07;;;Impossible
664;M000238;1988MM08;0,9;;None
665;M000239;1988MM08;;;Impossible
666;M000238;1988MM09;0,9;;None
667;M000239;1988MM09;;;Impossible
668;M000238;1988MM10;0,7;;None
669;M000239;1988MM10;;;Impossible
670;M000238;1988MM11;1;;None
671;M000239;1988MM11;;;Impossible
672;M000238;1988MM12;1,2;;None
673;M000239;1988MM12;;;Impossible
674;M000238;1988JJ00;0,7;;None
675;M000239;1988JJ00;;;Impossible
676;M000238;1989MM01;0,8;;None
677;M000239;1989MM01;;;Impossible
678;M000238;1989MM02;0,9;;None
679;M000239;1989MM02;;;Impossible
680;M000238;1989MM03;0,8;;None
681;M000239;1989MM03;;;Impossible
682;M000238;1989MM04;1,1;;None
683;M000239;1989MM04;;;Impossible
684;M000238;1989MM05;1;;None
685;M000239;1989MM05;;;Impossible
686;M000238;1989MM06;1;;None
687;M000239;1989MM06;;;Impossible
688;M000238;1989MM07;1,1;;None
689;M000239;1989MM07;;;Impossible
690;M000238;1989MM08;1,1;;None
691;M000239;1989MM08;;;Impossible
692;M000238;1989MM09;1,3;;None
693;M000239;1989MM09;;;Impossible
694;M000238;1989MM10;1,4;;None
695;M000239;1989MM10;;;Impossible
696;M000238;1989MM11;1,2;;None
697;M000239;1989MM11;;;Impossible
698;M000238;1989MM12;1,3;;None
699;M000239;1989MM12;;;Impossible
700;M000238;1989JJ00;1,1;;None
701;M000239;1989JJ00;;;Impossible
702;M000238;1990MM01;2,2;;None
703;M000239;1990MM01;;;Impossible
704;M000238;1990MM02;2,3;;None
705;M000239;1990MM02;;;Impossible
706;M000238;1990MM03;2,3;;None
707;M000239;1990MM03;;;Impossible
708;M000238;1990MM04;2,2;;None
709;M000239;1990MM04;;;Impossible
710;M000238;1990MM05;2,3;;None
711;M000239;1990MM05;;;Impossible
712;M000238;1990MM06;2,3;;None
713;M000239;1990MM06;;;Impossible
714;M000238;1990MM07;2,4;;None
715;M000239;1990MM07;;;Impossible
716;M000238;1990MM08;2,4;;None
717;M000239;1990MM08;;;Impossible
718;M000238;1990MM09;2,7;;None
719;M000239;1990MM09;;;Impossible
720;M000238;1990MM10;2,9;;None
721;M000239;1990MM10;;;Impossible
722;M000238;1990MM11;2,8;;None
723;M000239;1990MM11;;;Impossible
724;M000238;1990MM12;2,6;;None
725;M000239;1990MM12;;;Impossible
726;M000238;1990JJ00;2,5;;None
